date,geoId/24033 Count_Person
1980,665071
1981,670209
1982,671811
1983,674430
1984,679390
1985,683487
1986,688863
1987,694845
1988,708095
1989,719550
1990,725515
1991,735915
1992,740390
1993,743156
1994,751282
1995,757795
1996,764644
1997,769840
1998,776907
1999,781781
2000,802745
2001,815278
2002,824938
2003,831712
2004,837891
2005,842819
2006,839376
2007,835049
2008,832936
2009,836401
2010,865747
2011,874389
2012,882490
2013,890658
2014,899686
2015,906197
2016,908501
2017,909705
2018,909619
2019,909327
